Country,Organization,Scope,Address,Email,Phone,Internet Link,Contact Person,Last Verified Date,Region/Province,Notes,Source Dataset,Geo (lat/lon)
Vietnam,Vietnam Food Association (VFA),Rice exporters/traders,"62 Nguyen Thi Thap, Dist. 7, Ho Chi Minh City",info@vietfood.org.vn,+84 28 6298 3497/98,https://e.vietfood.org.vn/contact-us/,,9/18/2025,,,,
Thailand,Thai Rice Exporters Association (TREA),Rice exporters,"37 Soi Ngamduplee, Rama IV Rd., Sathorn, Bangkok 10120, Thailand",contact@thairiceexporters.or.th,+66 2-287-2674-7,https://www.thairiceexporters.or.th/,,9/18/2025,,,,
Myanmar,Myanmar Rice Federation (MRF),Rice millers/traders/farmers,"Level 9, UMFCCI Tower, Minyekyawswar Rd., Lanmadaw Tsp., Yangon",info@myanmarricefederation.org; myanmarricefederation@gmail.com,+95 1-218266-68; 2301128; 2301129,https://myanmarricefederation.org/contact,,9/18/2025,,,,
Cambodia,Cambodia Rice Federation (CRF),Rice sector federation,"Olympia City, Fortune Tower C7, 8/F, Room 819, St. 182, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh",,,https://www.crf.org.kh/?lg=en&menu1=602&page=api_contact,,9/18/2025,,,,
Indonesia,PERPADI (Persatuan Pengusaha Penggilingan Padi dan Beras Indonesia),Rice millers & traders,"Jl. Pertanian III no. 52G, Pasar Minggu, Jakarta Selatan 12520",perpadizoom@gmail.com,+62 816 1883934,,,9/18/2025,,,,
Philippines,Federation of Free Farmers (FFF),Rice farmers,"30-F, 6th Ave., Brgy. Socorro, Cubao, Quezon City",freefarm@freefarm.org,,https://www.freefarm.org/about.php,,9/18/2025,,,,
Bangladesh,Bangladesh Auto Rice Mill Owners Association,Rice mill owners,"11/8/C East Panthapath, Hoshneara Tower (1st Fl.), Dhaka",,+880 1715-363384,,,9/18/2025,,,,
Pakistan,Rice Exporters Association of Pakistan (REAP),Rice exporters,"Office 405, Sadiq Plaza, The Mall, Lahore; Office 707, Business & Finance Centre, I.I. Chundrigar Rd., Karachi",,+92-42-36280195-146; +92-21-99217321-22,https://reap.com.pk/,,9/18/2025,,,,
Pakistan,Punjab Rice Millers Association (PSRMA),Rice millers (Punjab),"Rashid Chambers, 6-Link McLeod Rd., Lahore",info@psrma.com,+92-42-37227136; 37231154,https://psrma.com/contact-us/,,9/18/2025,,,,
Sri Lanka,All Ceylon Small & Medium Scale Rice Mill Owners’ Association,SME rice millers,,,,,,9/18/2025,,,,
Nepal,Nepal Rice & Oil Mills Association,Rice & oil mills,"Kantipath, GPO Box 485, Kathmandu",[email protected],+977-1-4225009; 4228813,,,9/18/2025,,,,
Japan,Japan Rice Millers Association,Rice millers,"15-15 Nihonbashi-Kodenma-cho, Chuo-ku, Tokyo 103-0001",,(03) 4334-2190,,,9/18/2025,,,,
Taiwan,ROC Rice Grain Commerce Association (中華民國米穀商業同業公會全國聯合會),Rice traders/SME wholesalers,"4F-9, No. 18, Zhongzheng N. Rd., Sanchong Dist., New Taipei City, Taiwan",[email protected],(02) 2986-7375,https://www.paddy.org.tw/,,9/18/2025,,,,
Taiwan,Xinbei Rice Milling Occupational Union (新北市碾米業職業工會),Local rice millers occupational union,"No. 22, Ren'ai Rd., Tucheng Dist., New Taipei City, Taiwan",,02-2260-5959,https://ttu.dsim.tw/go/ds96?q1=viw&q100=20201102161045&q106=20151006175108&q65=20000967,,9/18/2025,,,,
Korea (ROK),Korea Rice Foodstuffs Association (KRFA),Rice processing companies & SMEs,"45-19, Ihyeon-ro 30beon-gil, Giheung-gu, Yongin-si, Gyeonggi-do 16926, Republic of Korea",rice-show@krfa.or.kr,-5467,https://riceshow.or.kr/html/info/companyView.php?lang=eng&no=99&year=,Secretariat,9/18/2025,,,,
Korea (ROK),Korea Rice Foodstuffs Association (KRFA) – Contact person,Association contact,"45-19, Ihyeon-ro 30beon-gil, Giheung-gu, Yongin-si, Gyeonggi-do 16926, Republic of Korea",cdh83@krfa.or.kr,(+82) 10-8608-4474,https://k-beautycatalog.com/K-RICE/view/4931651,Choi Daehan,9/18/2025,,,,
Korea (ROK),NACF (National Agricultural Cooperative Federation) – HQ,Umbrella cooperative; RPCs under regional Nonghyup,"NACF Headquarters Bldg., 16 Saemunan-ro, Jung-gu, Seoul, Korea",nacfico@nonghyup.com,-3606,https://www.nonghyup.com/eng/nacf/contact/contactus.do,,9/18/2025,,,,
Korea (ROK),Gongdeok Nonghyup RPC (공덕농협 농산물가공사업소),Example RPC (rice cakes/processing),"65-1, Gongdeok 8-gil, Gongdeok-myeon, Gimje-si, Jeollabuk-do, Korea",,,https://riceshow.or.kr/html/info/companyView.php?lang=eng&no=80&year=,,9/18/2025,,,,
Taiwan,Taipei City Rice Merchants Association (台北市米穀公會),City-level rice merchants association (SME wholesalers/millers),"3F, No.1, Lane 16, Sec. 2, Zhongxiao W. Rd., Wanhua Dist., Taipei City 10841, Taiwan",taipei.rice@msa.hinet.net,(02) 2331-1802 / 2331-1801,https://www.paddy.org.tw/ads_3_detail.php?id=597,"Chair: 梁朝凱 (Liang, Chao-Kai); Sec-Gen: 李美 (Li, Mei)",9/18/2025,Taipei City,Listing on national federation directory.,,
Taiwan,Taichung City Rice Merchants Association (台中市米穀公會),City-level rice merchants association (SME wholesalers/millers),"2F, No.23, Ren’ai St., Central Dist., Taichung City 40042, Taiwan",[email protected],(04) 2222-3752 / Fax (04) 2222-5190,https://www.paddy.org.tw/ads_3_detail.php?id=589,"Chair: 徐昭謨 (Xu, Zhaomo); Sec-Gen: 王麗娜 (Wang, Lina)",9/18/2025,Taichung City,Also verified on Taichung Social Affairs portal 2025-08-25.,,
Taiwan,Kaohsiung City Rice Merchants Association (高雄市米穀公會),City-level rice merchants association (SME wholesalers/millers),"4F, No.31, Ziqiang 2nd Rd., Qianjin Dist., Kaohsiung City 80144, Taiwan",[email protected],(07) 221-2353,https://paddy.org.tw/ads_3_detail.php?id=566,"Chair: 周碩良 (Chou, Shuoliang); Sec-Gen: 劉惠齡 (Liu, Huiling)",9/18/2025,Kaohsiung City,Federation directory entry.,,
Taiwan,Kaohsiung Xin Rice Merchants Association (高雄市新米穀公會),City-level rice merchants association (SME wholesalers/millers),"No.225, Lide St., Fengshan Dist., Kaohsiung City 83060, Taiwan",[email protected],(07) 746-2516,https://www.paddy.org.tw/ads_3_detail.php?id=568,"Chair: 蔡重雄 (Tsai, Chung-Hsiung); Sec-Gen: 劉銀盆 (Liu, Yinpen)",9/18/2025,Kaohsiung City,Federation directory entry.,,
